"InstanceType","InstanceFamily","ProcessorVCPUCount","MemorySizeInMB","ProcessorArchitecture","PricePerHour","GPUCount","GPUName","GPUMemoryInMB","ProcessorDefaultCores"
"c1.medium","Compute optimized",2,1.7,"x86_64","0.1300",0,"",0,2
"c1.xlarge","Compute optimized",8,7,"x86_64","0.5200",0,"",0,8
"c3.large","Compute optimized",2,3.75,"x86_64","0.1050",0,"",0,1
"c3.xlarge","Compute optimized",4,7.5,"x86_64","0.2100",0,"",0,2
"c3.2xlarge","Compute optimized",8,15,"x86_64","0.4200",0,"",0,4
"c3.4xlarge","Compute optimized",16,30,"x86_64","0.8400",0,"",0,8
"c3.8xlarge","Compute optimized",32,60,"x86_64","1.6800",0,"",0,16
"c4.large","Compute optimized",2,3.75,"x86_64","0.1000",0,"",0,1
"c4.xlarge","Compute optimized",4,7.5,"x86_64","0.1990",0,"",0,2
"c4.2xlarge","Compute optimized",8,15,"x86_64","0.3980",0,"",0,4
"c4.4xlarge","Compute optimized",16,30,"x86_64","0.7960",0,"",0,8
"c4.8xlarge","Compute optimized",36,60,"x86_64","1.5910",0,"",0,18
"c5.large","Compute optimized",2,4,"x86_64","0.0850",0,"",0,1
"c5.xlarge","Compute optimized",4,8,"x86_64","0.1700",0,"",0,2
"c5.2xlarge","Compute optimized",8,16,"x86_64","0.3400",0,"",0,4
"c5.4xlarge","Compute optimized",16,32,"x86_64","0.6800",0,"",0,8
"c5.9xlarge","Compute optimized",36,72,"x86_64","1.5300",0,"",0,18
"c5.12xlarge","Compute optimized",48,96,"x86_64","2.0400",0,"",0,24
"c5.18xlarge","Compute optimized",72,144,"x86_64","3.0600",0,"",0,36
"c5.24xlarge","Compute optimized",96,192,"x86_64","4.0800",0,"",0,48
"c5.metal","Compute optimized",96,192,"x86_64","4.0800",0,"",0,48
"c5a.large","Compute optimized",2,4,"x86_64","0.0770",0,"",0,1
"c5a.xlarge","Compute optimized",4,8,"x86_64","0.1540",0,"",0,2
"c5a.2xlarge","Compute optimized",8,16,"x86_64","0.3080",0,"",0,4
"c5a.4xlarge","Compute optimized",16,32,"x86_64","0.6160",0,"",0,8
"c5a.8xlarge","Compute optimized",32,64,"x86_64","1.2320",0,"",0,16
"c5a.12xlarge","Compute optimized",48,96,"x86_64","1.8480",0,"",0,24
"c5a.16xlarge","Compute optimized",64,128,"x86_64","2.4640",0,"",0,32
"c5a.24xlarge","Compute optimized",96,192,"x86_64","3.6960",0,"",0,48
"c5ad.large","Compute optimized",2,4,"x86_64","0.0860",0,"",0,1
"c5ad.xlarge","Compute optimized",4,8,"x86_64","0.1720",0,"",0,2
"c5ad.2xlarge","Compute optimized",8,16,"x86_64","0.3440",0,"",0,4
"c5ad.4xlarge","Compute optimized",16,32,"x86_64","0.6880",0,"",0,8
"c5ad.8xlarge","Compute optimized",32,64,"x86_64","1.3760",0,"",0,16
"c5ad.12xlarge","Compute optimized",48,96,"x86_64","2.0640",0,"",0,24
"c5ad.16xlarge","Compute optimized",64,128,"x86_64","2.7520",0,"",0,32
"c5ad.24xlarge","Compute optimized",96,192,"x86_64","4.1280",0,"",0,48
"c5d.large","Compute optimized",2,4,"x86_64","0.0960",0,"",0,1
"c5d.xlarge","Compute optimized",4,8,"x86_64","0.1920",0,"",0,2
"c5d.2xlarge","Compute optimized",8,16,"x86_64","0.3840",0,"",0,4
"c5d.4xlarge","Compute optimized",16,32,"x86_64","0.7680",0,"",0,8
"c5d.9xlarge","Compute optimized",36,72,"x86_64","1.7280",0,"",0,18
"c5d.12xlarge","Compute optimized",48,96,"x86_64","2.3040",0,"",0,24
"c5d.18xlarge","Compute optimized",72,144,"x86_64","3.4560",0,"",0,36
"c5d.24xlarge","Compute optimized",96,192,"x86_64","4.6080",0,"",0,48
"c5d.metal","Compute optimized",96,192,"x86_64","4.6080",0,"",0,48
"c5n.large","Compute optimized",2,5.25,"x86_64","0.1080",0,"",0,1
"c5n.xlarge","Compute optimized",4,10.5,"x86_64","0.2160",0,"",0,2
"c5n.2xlarge","Compute optimized",8,21,"x86_64","0.4320",0,"",0,4
"c5n.4xlarge","Compute optimized",16,42,"x86_64","0.8640",0,"",0,8
"c5n.9xlarge","Compute optimized",36,96,"x86_64","1.9440",0,"",0,18
"c5n.18xlarge","Compute optimized",72,192,"x86_64","3.8880",0,"",0,36
"c5n.metal","Compute optimized",72,192,"x86_64","3.8880",0,"",0,36
"c6a.large","Compute optimized",2,4,"x86_64","0.0765",0,"",0,1
"c6a.xlarge","Compute optimized",4,8,"x86_64","0.1530",0,"",0,2
"c6a.2xlarge","Compute optimized",8,16,"x86_64","0.3060",0,"",0,4
"c6a.4xlarge","Compute optimized",16,32,"x86_64","0.6120",0,"",0,8
"c6a.8xlarge","Compute optimized",32,64,"x86_64","1.2240",0,"",0,16
"c6a.12xlarge","Compute optimized",48,96,"x86_64","1.8360",0,"",0,24
"c6a.16xlarge","Compute optimized",64,128,"x86_64","2.4480",0,"",0,32
"c6a.24xlarge","Compute optimized",96,192,"x86_64","3.6720",0,"",0,48
"c6a.32xlarge","Compute optimized",128,256,"x86_64","4.8960",0,"",0,64
"c6a.48xlarge","Compute optimized",192,384,"x86_64","7.3440",0,"",0,96
"c6a.metal","Compute optimized",192,384,"x86_64","7.3440",0,"",0,96
"c6i.large","Compute optimized",2,4,"x86_64","0.0850",0,"",0,1
"c6i.xlarge","Compute optimized",4,8,"x86_64","0.1700",0,"",0,2
"c6i.2xlarge","Compute optimized",8,16,"x86_64","0.3400",0,"",0,4
"c6i.4xlarge","Compute optimized",16,32,"x86_64","0.6800",0,"",0,8
"c6i.8xlarge","Compute optimized",32,64,"x86_64","1.3600",0,"",0,16
"c6i.12xlarge","Compute optimized",48,96,"x86_64","2.0400",0,"",0,24
"c6i.16xlarge","Compute optimized",64,128,"x86_64","2.7200",0,"",0,32
"c6i.24xlarge","Compute optimized",96,192,"x86_64","4.0800",0,"",0,48
"c6i.32xlarge","Compute optimized",128,256,"x86_64","5.4400",0,"",0,64
"c6i.metal","Compute optimized",128,256,"x86_64","5.4400",0,"",0,64
"c6id.large","Compute optimized",2,4,"x86_64","0.1008",0,"",0,1
"c6id.xlarge","Compute optimized",4,8,"x86_64","0.2016",0,"",0,2
"c6id.2xlarge","Compute optimized",8,16,"x86_64","0.4032",0,"",0,4
"c6id.4xlarge","Compute optimized",16,32,"x86_64","0.8064",0,"",0,8
"c6id.8xlarge","Compute optimized",32,64,"x86_64","1.6128",0,"",0,16
"c6id.12xlarge","Compute optimized",48,96,"x86_64","2.4192",0,"",0,24
"c6id.16xlarge","Compute optimized",64,128,"x86_64","3.2256",0,"",0,32
"c6id.24xlarge","Compute optimized",96,192,"x86_64","4.8384",0,"",0,48
"c6id.32xlarge","Compute optimized",128,256,"x86_64","6.4512",0,"",0,64
"c6id.metal","Compute optimized",128,256,"x86_64","6.4512",0,"",0,64
"c6in.large","Compute optimized",2,4,"x86_64","0.1134",0,"",0,1
"c6in.xlarge","Compute optimized",4,8,"x86_64","0.2268",0,"",0,2
"c6in.2xlarge","Compute optimized",8,16,"x86_64","0.4536",0,"",0,4
"c6in.4xlarge","Compute optimized",16,32,"x86_64","0.9072",0,"",0,8
"c6in.8xlarge","Compute optimized",32,64,"x86_64","1.8144",0,"",0,16
"c6in.12xlarge","Compute optimized",48,96,"x86_64","2.7216",0,"",0,24
"c6in.16xlarge","Compute optimized",64,128,"x86_64","3.6288",0,"",0,32
"c6in.24xlarge","Compute optimized",96,192,"x86_64","5.4432",0,"",0,48
"c6in.32xlarge","Compute optimized",128,256,"x86_64","7.2576",0,"",0,64
"c6in.metal","Compute optimized",128,256,"x86_64","7.2576",0,"",0,64
"c7a.medium","Compute optimized",1,2,"x86_64","0.0513",0,"",0,1
"c7a.large","Compute optimized",2,4,"x86_64","0.1026",0,"",0,2
"c7a.xlarge","Compute optimized",4,8,"x86_64","0.2053",0,"",0,4
"c7a.2xlarge","Compute optimized",8,16,"x86_64","0.4106",0,"",0,8
"c7a.4xlarge","Compute optimized",16,32,"x86_64","0.8211",0,"",0,16
"c7a.8xlarge","Compute optimized",32,64,"x86_64","1.6422",0,"",0,32
"c7a.12xlarge","Compute optimized",48,96,"x86_64","2.4634",0,"",0,48
"c7a.16xlarge","Compute optimized",64,128,"x86_64","3.2845",0,"",0,64
"c7a.24xlarge","Compute optimized",96,192,"x86_64","4.9267",0,"",0,96
"c7a.32xlarge","Compute optimized",128,256,"x86_64","6.5690",0,"",0,128
"c7a.48xlarge","Compute optimized",192,384,"x86_64","9.8534",0,"",0,192
"c7a.metal-48xl","Compute optimized",192,384,"x86_64","9.8534",0,"",0,192
"c7i-flex.large","Compute optimized",2,4,"x86_64","0.0848",0,"",0,1
"c7i-flex.xlarge","Compute optimized",4,8,"x86_64","0.1696",0,"",0,2
"c7i-flex.2xlarge","Compute optimized",8,16,"x86_64","0.3392",0,"",0,4
"c7i-flex.4xlarge","Compute optimized",16,32,"x86_64","0.6783",0,"",0,8
"c7i-flex.8xlarge","Compute optimized",32,64,"x86_64","1.3566",0,"",0,16
"c7i-flex.12xlarge","Compute optimized",48,96,"x86_64","2.0349",0,"",0,24
"c7i-flex.16xlarge","Compute optimized",64,128,"x86_64","2.7132",0,"",0,32
"c7i.large","Compute optimized",2,4,"x86_64","0.0893",0,"",0,1
"c7i.xlarge","Compute optimized",4,8,"x86_64","0.1785",0,"",0,2
"c7i.2xlarge","Compute optimized",8,16,"x86_64","0.3570",0,"",0,4
"c7i.4xlarge","Compute optimized",16,32,"x86_64","0.7140",0,"",0,8
"c7i.8xlarge","Compute optimized",32,64,"x86_64","1.4280",0,"",0,16
"c7i.12xlarge","Compute optimized",48,96,"x86_64","2.1420",0,"",0,24
"c7i.16xlarge","Compute optimized",64,128,"x86_64","2.8560",0,"",0,32
"c7i.24xlarge","Compute optimized",96,192,"x86_64","4.2840",0,"",0,48
"c7i.metal-24xl","Compute optimized",96,192,"x86_64","4.2840",0,"",0,48
"c7i.48xlarge","Compute optimized",192,384,"x86_64","8.5680",0,"",0,96
"c7i.metal-48xl","Compute optimized",192,384,"x86_64","8.5680",0,"",0,96
"c8a.medium","Compute optimized",1,2,"x86_64","0.0539",0,"",0,1
"c8a.large","Compute optimized",2,4,"x86_64","0.1078",0,"",0,2
"c8a.xlarge","Compute optimized",4,8,"x86_64","0.2155",0,"",0,4
"c8a.2xlarge","Compute optimized",8,16,"x86_64","0.4311",0,"",0,8
"c8a.4xlarge","Compute optimized",16,32,"x86_64","0.8622",0,"",0,16
"c8a.8xlarge","Compute optimized",32,64,"x86_64","1.7243",0,"",0,32
"c8a.12xlarge","Compute optimized",48,96,"x86_64","2.5865",0,"",0,48
"c8a.16xlarge","Compute optimized",64,128,"x86_64","3.4486",0,"",0,64
"c8a.24xlarge","Compute optimized",96,192,"x86_64","5.1730",0,"",0,96
"c8a.metal-24xl","Compute optimized",96,192,"x86_64","5.1730",0,"",0,96
"c8a.48xlarge","Compute optimized",192,384,"x86_64","10.3459",0,"",0,192
"c8a.metal-48xl","Compute optimized",192,384,"x86_64","10.3459",0,"",0,192
"c8i-flex.large","Compute optimized",2,4,"x86_64","0.0890",0,"",0,1
"c8i-flex.xlarge","Compute optimized",4,8,"x86_64","0.1780",0,"",0,2
"c8i-flex.2xlarge","Compute optimized",8,16,"x86_64","0.3561",0,"",0,4
"c8i-flex.4xlarge","Compute optimized",16,32,"x86_64","0.7122",0,"",0,8
"c8i-flex.8xlarge","Compute optimized",32,64,"x86_64","1.4243",0,"",0,16
"c8i-flex.12xlarge","Compute optimized",48,96,"x86_64","2.1365",0,"",0,24
"c8i-flex.16xlarge","Compute optimized",64,128,"x86_64","2.8486",0,"",0,32
"c8i.large","Compute optimized",2,4,"x86_64","0.0937",0,"",0,1
"c8i.xlarge","Compute optimized",4,8,"x86_64","0.1874",0,"",0,2
"c8i.2xlarge","Compute optimized",8,16,"x86_64","0.3748",0,"",0,4
"c8i.4xlarge","Compute optimized",16,32,"x86_64","0.7497",0,"",0,8
"c8i.8xlarge","Compute optimized",32,64,"x86_64","1.4994",0,"",0,16
"c8i.12xlarge","Compute optimized",48,96,"x86_64","2.2490",0,"",0,24
"c8i.16xlarge","Compute optimized",64,128,"x86_64","2.9987",0,"",0,32
"c8i.24xlarge","Compute optimized",96,192,"x86_64","4.4981",0,"",0,48
"c8i.32xlarge","Compute optimized",128,256,"x86_64","5.9974",0,"",0,64
"c8i.48xlarge","Compute optimized",192,384,"x86_64","8.9962",0,"",0,96
"c8i.metal-48xl","Compute optimized",192,384,"x86_64","8.9962",0,"",0,96
"c8i.96xlarge","Compute optimized",384,768,"x86_64","17.9923",0,"",0,192
"c8i.metal-96xl","Compute optimized",384,768,"x86_64","17.9923",0,"",0,192
"c8ib.large","Compute optimized",2,4,"x86_64","0.1361",0,"",0,1
"c8ib.xlarge","Compute optimized",4,8,"x86_64","0.2722",0,"",0,2
"c8ib.2xlarge","Compute optimized",8,16,"x86_64","0.5443",0,"",0,4
"c8ib.4xlarge","Compute optimized",16,32,"x86_64","1.0886",0,"",0,8
"c8ib.8xlarge","Compute optimized",32,64,"x86_64","2.1773",0,"",0,16
"c8ib.12xlarge","Compute optimized",48,96,"x86_64","3.2659",0,"",0,24
"c8ib.16xlarge","Compute optimized",64,128,"x86_64","4.3546",0,"",0,32
"c8ib.24xlarge","Compute optimized",96,192,"x86_64","6.5318",0,"",0,48
"c8ib.32xlarge","Compute optimized",128,256,"x86_64","8.7091",0,"",0,64
"c8ib.48xlarge","Compute optimized",192,384,"x86_64","13.0637",0,"",0,96
"c8ib.metal-48xl","Compute optimized",192,384,"x86_64","13.0637",0,"",0,96
"c8ib.96xlarge","Compute optimized",384,768,"x86_64","26.1274",0,"",0,192
"c8ib.metal-96xl","Compute optimized",384,768,"x86_64","26.1274",0,"",0,192
"c8id.large","Compute optimized",2,4,"x86_64","0.1109",0,"",0,1
"c8id.xlarge","Compute optimized",4,8,"x86_64","0.2218",0,"",0,2
"c8id.2xlarge","Compute optimized",8,16,"x86_64","0.4435",0,"",0,4
"c8id.4xlarge","Compute optimized",16,32,"x86_64","0.8870",0,"",0,8
"c8id.8xlarge","Compute optimized",32,64,"x86_64","1.7741",0,"",0,16
"c8id.12xlarge","Compute optimized",48,96,"x86_64","2.6611",0,"",0,24
"c8id.16xlarge","Compute optimized",64,128,"x86_64","3.5482",0,"",0,32
"c8id.24xlarge","Compute optimized",96,192,"x86_64","5.3222",0,"",0,48
"c8id.32xlarge","Compute optimized",128,256,"x86_64","7.0963",0,"",0,64
"c8id.48xlarge","Compute optimized",192,384,"x86_64","10.6445",0,"",0,96
"c8id.metal-48xl","Compute optimized",192,384,"x86_64","10.6445",0,"",0,96
"c8id.96xlarge","Compute optimized",384,768,"x86_64","21.2890",0,"",0,192
"c8id.metal-96xl","Compute optimized",384,768,"x86_64","21.2890",0,"",0,192
"c8in.large","Compute optimized",2,4,"x86_64","0.1361",0,"",0,1
"c8in.xlarge","Compute optimized",4,8,"x86_64","0.2722",0,"",0,2
"c8in.2xlarge","Compute optimized",8,16,"x86_64","0.5443",0,"",0,4
"c8in.4xlarge","Compute optimized",16,32,"x86_64","1.0886",0,"",0,8
"c8in.8xlarge","Compute optimized",32,64,"x86_64","2.1773",0,"",0,16
"c8in.12xlarge","Compute optimized",48,96,"x86_64","3.2659",0,"",0,24
"c8in.16xlarge","Compute optimized",64,128,"x86_64","4.3546",0,"",0,32
"c8in.24xlarge","Compute optimized",96,192,"x86_64","6.5318",0,"",0,48
"c8in.32xlarge","Compute optimized",128,256,"x86_64","8.7091",0,"",0,64
"c8in.48xlarge","Compute optimized",192,384,"x86_64","13.0637",0,"",0,96
"c8in.metal-48xl","Compute optimized",192,384,"x86_64","13.0637",0,"",0,96
"c8in.96xlarge","Compute optimized",384,768,"x86_64","26.1274",0,"",0,192
"c8in.metal-96xl","Compute optimized",384,768,"x86_64","26.1274",0,"",0,192
"c8ine.large","Compute optimized",2,4,"x86_64","0.1701",0,"",0,1
"c8ine.xlarge","Compute optimized",4,8,"x86_64","0.3402",0,"",0,2
"c8ine.2xlarge","Compute optimized",8,16,"x86_64","0.6804",0,"",0,4
"c8ine.4xlarge","Compute optimized",16,32,"x86_64","1.3608",0,"",0,8
"c8ine.8xlarge","Compute optimized",32,64,"x86_64","2.7216",0,"",0,16
"c8ine.12xlarge","Compute optimized",48,96,"x86_64","4.0824",0,"",0,24
"d2.xlarge","Storage optimized",4,30.5,"x86_64","0.6900",0,"",0,2
"d2.2xlarge","Storage optimized",8,61,"x86_64","1.3800",0,"",0,4
"d2.4xlarge","Storage optimized",16,122,"x86_64","2.7600",0,"",0,8
"d2.8xlarge","Storage optimized",36,244,"x86_64","5.5200",0,"",0,18
"d3.xlarge","Storage optimized",4,32,"x86_64","0.4990",0,"",0,2
"d3.2xlarge","Storage optimized",8,64,"x86_64","0.9990",0,"",0,4
"d3.4xlarge","Storage optimized",16,128,"x86_64","1.9980",0,"",0,8
"d3.8xlarge","Storage optimized",32,256,"x86_64","3.9955",0,"",0,16
"d3en.xlarge","Storage optimized",4,16,"x86_64","0.5260",0,"",0,2
"d3en.2xlarge","Storage optimized",8,32,"x86_64","1.0510",0,"",0,4
"d3en.4xlarge","Storage optimized",16,64,"x86_64","2.1030",0,"",0,8
"d3en.6xlarge","Storage optimized",24,96,"x86_64","3.1540",0,"",0,12
"d3en.8xlarge","Storage optimized",32,128,"x86_64","4.2058",0,"",0,16
"d3en.12xlarge","Storage optimized",48,192,"x86_64","6.3086",0,"",0,24
"dl1.24xlarge","Machine Learning ASIC",96,768,"x86_64","13.1090",0,"Gaudi HL-205",32,48
"f2.6xlarge","FPGA",24,256,"x86_64","1.9800",0,"",0,12
"f2.12xlarge","FPGA",48,512,"x86_64","3.9600",0,"",0,24
"f2.48xlarge","FPGA",192,2048,"x86_64","15.8400",0,"",0,96
"g4ad.xlarge","GPU instance",4,16,"x86_64","0.3785",1,"Radeon Pro V520",8,2
"g4ad.2xlarge","GPU instance",8,32,"x86_64","0.5412",1,"Radeon Pro V520",8,4
"g4ad.4xlarge","GPU instance",16,64,"x86_64","0.8670",1,"Radeon Pro V520",8,8
"g4ad.8xlarge","GPU instance",32,128,"x86_64","1.7340",2,"Radeon Pro V520",8,16
"g4ad.16xlarge","GPU instance",64,256,"x86_64","3.4680",4,"Radeon Pro V520",8,32
"g4dn.xlarge","GPU instance",4,16,"x86_64","0.5260",1,"T4",16,2
"g4dn.2xlarge","GPU instance",8,32,"x86_64","0.7520",1,"T4",16,4
"g4dn.4xlarge","GPU instance",16,64,"x86_64","1.2040",1,"T4",16,8
"g4dn.8xlarge","GPU instance",32,128,"x86_64","2.1760",1,"T4",16,16
"g4dn.12xlarge","GPU instance",48,192,"x86_64","3.9120",4,"T4",16,24
"g4dn.16xlarge","GPU instance",64,256,"x86_64","4.3520",1,"T4",16,32
"g4dn.metal","GPU instance",96,384,"x86_64","7.8240",8,"T4",16,48
"g5.xlarge","GPU instance",4,16,"x86_64","1.0060",1,"A10G",22.35,2
"g5.2xlarge","GPU instance",8,32,"x86_64","1.2120",1,"A10G",22.35,4
"g5.4xlarge","GPU instance",16,64,"x86_64","1.6240",1,"A10G",22.35,8
"g5.8xlarge","GPU instance",32,128,"x86_64","2.4480",1,"A10G",22.35,16
"g5.12xlarge","GPU instance",48,192,"x86_64","5.6720",4,"A10G",22.35,24
"g5.16xlarge","GPU instance",64,256,"x86_64","4.0960",1,"A10G",22.35,32
"g5.24xlarge","GPU instance",96,384,"x86_64","8.1440",4,"A10G",22.35,48
"g5.48xlarge","GPU instance",192,768,"x86_64","16.2880",8,"A10G",22.35,96
"g6.xlarge","GPU instance",4,16,"x86_64","0.8048",1,"L4",22.35,2
"g6.2xlarge","GPU instance",8,32,"x86_64","0.9776",1,"L4",22.35,4
"g6.4xlarge","GPU instance",16,64,"x86_64","1.3232",1,"L4",22.35,8
"g6.8xlarge","GPU instance",32,128,"x86_64","2.0144",1,"L4",22.35,16
"g6.12xlarge","GPU instance",48,192,"x86_64","4.6016",4,"L4",22.35,24
"g6.16xlarge","GPU instance",64,256,"x86_64","3.3968",1,"L4",22.35,32
"g6.24xlarge","GPU instance",96,384,"x86_64","6.6752",4,"L4",22.35,48
"g6.48xlarge","GPU instance",192,768,"x86_64","13.3504",8,"L4",22.35,96
"g6e.xlarge","GPU instance",4,32,"x86_64","1.8610",1,"L40S",44.7,2
"g6e.2xlarge","GPU instance",8,64,"x86_64","2.2421",1,"L40S",44.7,4
"g6e.4xlarge","GPU instance",16,128,"x86_64","3.0042",1,"L40S",44.7,8
"g6e.8xlarge","GPU instance",32,256,"x86_64","4.5286",1,"L40S",44.7,16
"g6e.12xlarge","GPU instance",48,384,"x86_64","10.4926",4,"L40S",44.7,24
"g6e.16xlarge","GPU instance",64,512,"x86_64","7.5772",1,"L40S",44.7,32
"g6e.24xlarge","GPU instance",96,768,"x86_64","15.0656",4,"L40S",44.7,48
"g6e.48xlarge","GPU instance",192,1536,"x86_64","30.1312",8,"L40S",44.7,96
"g6f.large","GPU instance",2,8,"x86_64","0.2020",0.125,"L4",2.79,1
"g6f.xlarge","GPU instance",4,16,"x86_64","0.2375",0.125,"L4",2.79,2
"g6f.2xlarge","GPU instance",8,32,"x86_64","0.4750",0.25,"L4",5.59,4
"g6f.4xlarge","GPU instance",16,64,"x86_64","0.9500",0.5,"L4",11.18,8
"g7e.2xlarge","GPU instance",8,64,"x86_64","3.3631",1,"RTX PRO Server 6000",96,4
"g7e.4xlarge","GPU instance",16,128,"x86_64","3.9982",1,"RTX PRO Server 6000",96,8
"g7e.8xlarge","GPU instance",32,256,"x86_64","5.2682",1,"RTX PRO Server 6000",96,16
"g7e.12xlarge","GPU instance",48,512,"x86_64","8.2861",2,"RTX PRO Server 6000",96,24
"g7e.24xlarge","GPU instance",96,1024,"x86_64","16.5722",4,"RTX PRO Server 6000",96,48
"g7e.48xlarge","GPU instance",192,2048,"x86_64","33.1443",8,"RTX PRO Server 6000",96,96
"gr6.4xlarge","GPU instance",16,128,"x86_64","1.5392",1,"L4",22.35,8
"gr6.8xlarge","GPU instance",32,256,"x86_64","2.4464",1,"L4",22.35,16
"gr6f.4xlarge","GPU instance",16,128,"x86_64","1.0660",0.5,"L4",11.18,8
"h1.2xlarge","Storage optimized",8,32,"x86_64","0.4680",0,"",0,4
"h1.4xlarge","Storage optimized",16,64,"x86_64","0.9360",0,"",0,8
"h1.8xlarge","Storage optimized",32,128,"x86_64","1.8720",0,"",0,16
"h1.16xlarge","Storage optimized",64,256,"x86_64","3.7440",0,"",0,32
"i2.xlarge","Storage optimized",4,30.5,"x86_64","0.8530",0,"",0,2
"i2.2xlarge","Storage optimized",8,61,"x86_64","1.7050",0,"",0,4
"i2.4xlarge","Storage optimized",16,122,"x86_64","3.4100",0,"",0,8
"i2.8xlarge","Storage optimized",32,244,"x86_64","6.8200",0,"",0,16
"i3.large","Storage optimized",2,15.25,"x86_64","0.1560",0,"",0,1
"i3.xlarge","Storage optimized",4,30.5,"x86_64","0.3120",0,"",0,2
"i3.2xlarge","Storage optimized",8,61,"x86_64","0.6240",0,"",0,4
"i3.4xlarge","Storage optimized",16,122,"x86_64","1.2480",0,"",0,8
"i3.8xlarge","Storage optimized",32,244,"x86_64","2.4960",0,"",0,16
"i3.16xlarge","Storage optimized",64,488,"x86_64","4.9920",0,"",0,32
"i3en.large","Storage optimized",2,16,"x86_64","0.2260",0,"",0,1
"i3en.xlarge","Storage optimized",4,32,"x86_64","0.4520",0,"",0,2
"i3en.2xlarge","Storage optimized",8,64,"x86_64","0.9040",0,"",0,4
"i3en.3xlarge","Storage optimized",12,96,"x86_64","1.3560",0,"",0,6
"i3en.6xlarge","Storage optimized",24,192,"x86_64","2.7120",0,"",0,12
"i3en.12xlarge","Storage optimized",48,384,"x86_64","5.4240",0,"",0,24
"i3en.24xlarge","Storage optimized",96,768,"x86_64","10.8480",0,"",0,48
"i3en.metal","Storage optimized",96,768,"x86_64","10.8480",0,"",0,48
"i4i.large","Storage optimized",2,16,"x86_64","0.1720",0,"",0,1
"i4i.xlarge","Storage optimized",4,32,"x86_64","0.3430",0,"",0,2
"i4i.2xlarge","Storage optimized",8,64,"x86_64","0.6860",0,"",0,4
"i4i.4xlarge","Storage optimized",16,128,"x86_64","1.3730",0,"",0,8
"i4i.8xlarge","Storage optimized",32,256,"x86_64","2.7460",0,"",0,16
"i4i.12xlarge","Storage optimized",48,384,"x86_64","4.1180",0,"",0,24
"i4i.16xlarge","Storage optimized",64,512,"x86_64","5.4910",0,"",0,32
"i4i.24xlarge","Storage optimized",96,768,"x86_64","8.2368",0,"",0,48
"i4i.32xlarge","Storage optimized",128,1024,"x86_64","10.9824",0,"",0,64
"i4i.metal","Storage optimized",128,1024,"x86_64","10.9820",0,"",0,64
"i7i.large","Storage optimized",2,16,"x86_64","0.1888",0,"",0,1
"i7i.xlarge","Storage optimized",4,32,"x86_64","0.3775",0,"",0,2
"i7i.2xlarge","Storage optimized",8,64,"x86_64","0.7550",0,"",0,4
"i7i.4xlarge","Storage optimized",16,128,"x86_64","1.5101",0,"",0,8
"i7i.8xlarge","Storage optimized",32,256,"x86_64","3.0202",0,"",0,16
"i7i.12xlarge","Storage optimized",48,384,"x86_64","4.5302",0,"",0,24
"i7i.16xlarge","Storage optimized",64,512,"x86_64","6.0403",0,"",0,32
"i7i.24xlarge","Storage optimized",96,768,"x86_64","9.0605",0,"",0,48
"i7i.metal-24xl","Storage optimized",96,768,"x86_64","9.0605",0,"",0,48
